Event	ID	Name			Wwise Object Path	Notes
	541470702	Player_Movement			\Default Work Unit\SFX\Player_Movement	
	1589366019	Pickup_Box			\Default Work Unit\SFX\Pickup_Box	
	2578410269	Throw_Box			\Default Work Unit\SFX\Throw_Box	

Switch Group	ID	Name			Wwise Object Path	Notes
	1062779386	Player_Speed			\Default Work Unit\Player_Speed	
	2835351336	GroundType			\Default Work Unit\GroundType	

Switch	ID	Name	Switch Group			Notes
	712161704	Run	Player_Speed			
	788884573	Stop	Player_Speed			
	2108779966	Walk	Player_Speed			
	841620460	Concrete	GroundType			
	1050421051	Air	GroundType			
	2195636714	Dirt	GroundType			
	2449969375	Glass	GroundType			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	87269973	Footstep_Concrete04	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Footstep_Concrete04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Player_Movement\ConcreteFootstep\Concrete_Walk\Footstep_Concrete04		95264
	92506672	Throw_BoxWhiff05	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Throw_BoxWhiff05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Throw_Box\Box_Whiff\Throw_BoxWhiff05		112302
	184014942	Footstep_Concrete05	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Footstep_Concrete05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Player_Movement\ConcreteFootstep\Concrete_Walk\Footstep_Concrete05		95448
	503370173	Pickup_Box03	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Pickup_Box03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Pickup_Box\Pickup_Box03		241596
	579612847	Throw_BoxWoosh01	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Throw_BoxWoosh01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Throw_Box\Box_Whoosh\Throw_BoxWoosh01		112992
	698605241	Throw_BoxWhiff03	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Throw_BoxWhiff03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Throw_Box\Box_Whiff\Throw_BoxWhiff03		133832
	796562281	Throw_BoxWoosh03	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Throw_BoxWoosh03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Throw_Box\Box_Whoosh\Throw_BoxWoosh03		124522
	836232197	Throw_BoxWoosh02	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Throw_BoxWoosh02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Throw_Box\Box_Whoosh\Throw_BoxWoosh02		116540
	871671991	Pickup_Box04	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Pickup_Box04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Pickup_Box\Pickup_Box04		216056
	886762219	Throw_BoxWhiff02	C:\Users\shira\OneDrive\Desktop\Parkour_Game\Assets\Audio\Parkour_WwiseProject\.cache\Windows\SFX\Throw_BoxWhiff02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX-Mixer\Throw_Box\Box_Whiff\Throw_BoxWhiff02		110088
